Stadtteil;Anzahl der Einwohner:innen;Anzahl der Kinder und Jugendlichen unter 18 Jahren;Anzahl älterer Einwohner:innen über 64 Jahren;Anzahl ausländischer Einwohner:innen;Anzahl der Einwohner:innen mit Migrations-hintergrund;Anzahl der Haushalte;Durchschnittliche Anzahl der Personen je Haushalt;Anzahl der Haushalte mit Kindern;Sozial-versicherungs-pflichtig Beschäftigte am Wohnort;Anteil sozial-versicherungs-pflichtig Beschäftigter am Wohnort an den Erwerbsfähigen (15 bis unter 65-Jährige);Anzahl der Arbeitslosen;Anteil der Arbeitslosen an den Erwerbsfähigen (15 bis unter 65-Jährige);Ältere Arbeitslose im Alter von 55 bis unter 65 Jahren;Anteil älterer Arbeitsloser (55 bis unter 65-Jährige) an den älteren Erwerbsfähigen (55 bis unter 65-Jährige);Anzahl der Leistungs-empfänger:innen nach SGB II;Anteil der Leistungs-empfänger:innen nach SGB II an der Gesamt-bevölkerung;;
Winterhude; 56 878    ; 7 556    ; 8 226    ; 6 906    ; 14 806    ; 35 913    ; 1,6    ; 5 010    ; 27 744    ; 66,0    ; 1 394    ; 3,3    ;  279    ; 4,3    ; 2 316    ; 4,1    ;;
Uhlenhorst; 18 569    ; 2 555    ; 3 398    ; 2 351    ; 5 134    ; 11 506    ; 1,6    ; 1 618    ; 8 295    ; 64,2    ;  397    ; 3,1    ;  86    ; 3,9    ;  640    ; 3,4    ;;
Hohenfelde; 9 905    ; 1 255    ; 1 501    ; 2 014    ; 3 852    ; 6 258    ; 1,5    ;  718    ; 4 679    ; 64,0    ;  379    ; 5,2    ;  70    ; 6,7    ;  678    ; 6,8    ;;
Barmbek-Süd; 35 709    ; 3 886    ; 4 976    ; 5 261    ; 10 609    ; 24 249    ; 1,5    ; 2 619    ; 19 056    ; 69,8    ; 1 247    ; 4,6    ;  248    ; 6,3    ; 2 240    ; 6,3    ;;
Dulsberg; 16 839    ; 1 941    ; 2 193    ; 3 957    ; 7 664    ; 11 643    ; 1,5    ; 1 216    ; 8 396    ; 64,4    ; 1 163    ; 8,9    ;  209    ; 10,2    ; 2 681    ; 15,9    ;;
Barmbek-Nord; 41 964    ; 4 519    ; 5 461    ; 6 132    ; 12 634    ; 29 077    ; 1,5    ; 3 145    ; 22 666    ; 69,8    ; 1 680    ; 5,2    ;  319    ; 6,7    ; 3 174    ; 7,6    ;;
Ohlsdorf; 16 949    ; 2 865    ; 2 798    ; 2 207    ; 4 526    ; 9 221    ; 1,8    ; 1 741    ; 7 222    ; 61,7    ;  461    ; 3,9    ;  89    ; 4,1    ;  963    ; 5,7    ;;
Fuhlsbüttel; 13 515    ; 2 347    ; 2 518    ; 2 437    ; 4 023    ; 7 289    ; 1,7    ; 1 224    ; 5 763    ; 63,9    ;  478    ; 5,3    ;  83    ; 4,8    ; 1 252    ; 9,3    ;;
Langenhorn; 46 142    ; 8 283    ; 8 686    ; 7 356    ; 15 511    ; 23 558    ; 1,9    ; 4 855    ; 19 147    ; 62,9    ; 1 506    ; 4,9    ;  325    ; 4,9    ; 4 046    ; 8,8    ;;
Eilbek; 22 235    ; 2 669    ; 3 191    ; 3 717    ; 7 633    ; 14 587    ; 1,5    ; 1 760    ; 11 580    ; 69,4    ;  752    ; 4,5    ;  153    ; 6,2    ; 1 482    ; 6,7    ;;
Wandsbek; 37 340    ; 5 299    ; 6 428    ; 7 179    ; 14 565    ; 22 094    ; 1,6    ; 3 135    ; 17 284    ; 65,7    ; 1 398    ; 5,3    ;  246    ; 5,6    ; 3 548    ; 9,5    ;;
Marienthal; 13 472    ; 2 181    ; 2 644    ; 1 798    ; 4 142    ; 7 154    ; 1,8    ; 1 341    ; 5 585    ; 62,4    ;  291    ; 3,3    ;  72    ; 4,3    ;  614    ; 4,6    ;;
Jenfeld; 28 105    ; 5 629    ; 4 859    ; 8 016    ; 17 067    ; 13 408    ; 2,0    ; 2 896    ; 9 910    ; 53,6    ; 1 575    ; 8,5    ;  283    ; 8,0    ; 5 294    ; 18,8    ;;
Tonndorf; 15 203    ; 2 630    ; 2 636    ; 3 007    ; 6 608    ; 8 418    ; 1,8    ; 1 602    ; 6 553    ; 63,3    ;  625    ; 6,0    ;  123    ; 6,2    ; 1 621    ; 10,7    ;;
Farmsen-Berne; 35 843    ; 6 572    ; 7 107    ; 4 964    ; 12 410    ; 18 461    ; 1,9    ; 3 916    ; 14 832    ; 64,0    ; 1 254    ; 5,4    ;  262    ; 5,2    ; 3 552    ; 9,9    ;;
Bramfeld; 52 573    ; 8 039    ; 11 247    ; 7 472    ; 17 348    ; 29 982    ; 1,8    ; 5 118    ; 22 242    ; 64,4    ; 2 133    ; 6,2    ;  513    ; 6,4    ; 5 037    ; 9,6    ;;
Steilshoop; 19 662    ; 3 997    ; 3 847    ; 5 329    ; 11 096    ; 9 800    ; 2,0    ; 2 183    ; 7 017    ; 56,1    ; 1 326    ; 10,6    ;  253    ; 10,1    ; 4 266    ; 21,7    ;;
Wellingsbüttel; 11 014    ; 2 050    ; 2 997    ;  783    ; 2 181    ; 5 327    ; 2,1    ; 1 208    ; 3 575    ; 56,6    ;  149    ; 2,4    ;  63    ; 4,2    ;  198    ; 1,8    ;;
Sasel; 24 223    ; 4 689    ; 6 264    ; 1 553    ; 4 575    ; 11 357    ; 2,2    ; 2 785    ; 8 332    ; 59,2    ;  316    ; 2,2    ;  106    ; 2,8    ;  418    ; 1,7    ;;
Poppenbüttel; 24 190    ; 4 153    ; 7 667    ; 2 213    ; 5 980    ; 11 518    ; 2,0    ; 2 417    ; 7 843    ; 60,1    ;  446    ; 3,4    ;  115    ; 3,6    ; 1 004    ; 4,2    ;;
Hummelsbüttel; 18 505    ; 3 390    ; 4 520    ; 3 191    ; 7 150    ; 8 920    ; 2,0    ; 1 940    ; 6 779    ; 60,8    ;  680    ; 6,1    ;  151    ; 6,0    ; 1 888    ; 10,2    ;;
Lemsahl-Mellingstedt; 7 003    ; 1 455    ; 1 516    ;  397    ; 1 287    ; 3 072    ; 2,3    ;  857    ; 2 359    ; 55,6    ;  70    ; 1,6    ;  26    ; 2,1    ;  143    ; 2,0    ;;
Duvenstedt; 6 010    ; 1 257    ; 1 187    ;  489    ; 1 021    ; 2 604    ; 2,2    ;  682    ; 2 168    ; 56,7    ;  99    ; 2,6    ;  27    ; 2,4    ;  279    ; 4,6    ;;
Wohldorf-Ohlstedt; 4 829    ; 1 006    ; 1 039    ;  272    ;  785    ; 2 154    ; 2,3    ;  584    ; 1 521    ; 51,6    ;  70    ; 2,4    ;  23    ; 3,1    ;  94    ; 1,9    ;;
Bergstedt; 10 738    ; 2 297    ; 2 318    ;  978    ; 1 995    ; 4 707    ; 2,2    ; 1 226    ; 3 712    ; 57,2    ;  209    ; 3,2    ;  51    ; 3,1    ;  524    ; 4,9    ;;
Volksdorf; 20 723    ; 4 015    ; 5 658    ; 1 574    ; 3 755    ; 9 516    ; 2,1    ; 2 230    ; 6 391    ; 54,0    ;  332    ; 2,8    ;  103    ; 3,1    ;  736    ; 3,6    ;;
Rahlstedt; 92 369    ; 16 712    ; 20 036    ; 14 170    ; 32 955    ; 47 237    ; 1,9    ; 9 828    ; 36 131    ; 62,0    ; 3 187    ; 5,5    ;  639    ; 4,9    ; 9 121    ; 9,9    ;;
Lohbrügge; 40 523    ; 6 536    ; 9 236    ; 5 920    ; 17 327    ; 21 534    ; 1,9    ; 4 005    ; 16 731    ; 64,9    ; 1 275    ; 4,9    ;  312    ; 5,4    ; 3 751    ; 9,3    ;;
Bergedorf; 36 178    ; 6 422    ; 7 342    ; 5 710    ; 12 700    ; 18 640    ; 1,9    ; 3 634    ; 14 709    ; 62,9    ; 1 237    ; 5,3    ;  256    ; 5,6    ; 3 434    ; 9,5    ;;
Curslack; 4 034    ;  837    ;  639    ;  750    ; 1 147    ; 1 662    ; 2,1    ;  392    ; 1 640    ; 60,9    ;  106    ; 3,9    ;  23    ; 3,6    ;  307    ; 7,6    ;;
Altengamme; 2 319    ;  449    ;  454    ;  158    ;  292    ; 1 052    ; 2,2    ;  268    ;  975    ; 65,9    ;  35    ; 2,4    ;  10    ; 2,8    ;  55    ; 2,4    ;;
Neuengamme; 3 710    ;  625    ;  797    ;  173    ;  424    ; 1 750    ; 2,1    ;  384    ; 1 502    ; 62,8    ;  65    ; 2,7    ;  18    ; 2,8    ;  145    ; 3,9    ;;
Kirchwerder; 10 178    ; 1 860    ; 2 051    ;  755    ; 1 375    ; 4 626    ; 2,2    ; 1 078    ; 4 419    ; 67,1    ;  157    ; 2,4    ;  46    ; 2,7    ;  330    ; 3,2    ;;
Ochsenwerder; 3 007    ;  614    ;  516    ;  195    ;  514    ; 1 392    ; 2,2    ;  359    ; 1 297    ; 66,5    ;  45    ; 2,3    ;  13    ; 2,8    ;  74    ; 2,5    ;;
Reitbrook;  524    ;  80    ;  127    ;  28    ;  54    ;  256    ; 2,1    ;  51    ;.    ;.    ;.    ;.    ;.    ;.    ;  10    ; 1,9    ;;
Allermöhe; 1 441    ;  213    ;  291    ;  214    ;  382    ;  727    ; 2,0    ;  126    ;  611    ; 62,7    ;  28    ; 2,9    ;  10    ; 3,8    ;  42    ; 2,9    ;;
Billwerder; 3 184    ;  630    ;  282    ; 1 592    ; 1 969    ;  752    ; 2,0    ;  137    ; 1 020    ; 43,3    ;  169    ; 7,2    ;  16    ; 5,7    ;  699    ; 22,0    ;;
Moorfleet; 1 183    ;  187    ;  209    ;  152    ;  290    ;  584    ; 1,9    ;  108    ;  467    ; 56,3    ;  46    ; 5,5    ;  11    ; 6,0    ;  101    ; 8,5    ;;
Tatenberg;  575    ;  100    ;  113    ;  38    ;  74    ;  263    ; 2,2    ;  68    ;.    ;.    ;.    ;.    ;.    ;.    ;  10    ; 1,7    ;;
Spadenland;  525    ;  75    ;  123    ;  22    ;  49    ;  261    ; 2,0    ;  47    ;.    ;.    ;.    ;.    ;.    ;.    ;  11    ; 2,1    ;;
Neuallermöhe; 23 330    ; 5 289    ; 2 651    ; 4 304    ; 15 268    ; 9 749    ; 2,3    ; 2 976    ; 10 144    ; 62,3    ;  971    ; 6,0    ;  186    ; 5,2    ; 3 446    ; 14,8    ;;
Harburg; 26 248    ; 4 215    ; 2 778    ; 11 062    ; 16 272    ; 14 779    ; 1,7    ; 2 389    ; 11 667    ; 58,8    ; 1 611    ; 8,1    ;  253    ; 10,3    ; 4 344    ; 16,5    ;;
Neuland/Gut Moor; 1 818    ;  423    ;  272    ;  601    ;  877    ;  718    ; 2,1    ;  161    ;  645    ; 54,8    ;  85    ; 7,2    ;.    ;.    ;  305    ; 16,8    ;;
Wilstorf; 17 436    ; 3 220    ; 3 204    ; 4 775    ; 8 621    ; 9 388    ; 1,9    ; 1 845    ; 7 156    ; 62,4    ;  852    ; 7,4    ;  134    ; 6,1    ; 2 375    ; 13,6    ;;
Rönneburg; 3 425    ;  680    ;  628    ;  783    ; 1 444    ; 1 551    ; 2,1    ;  352    ; 1 325    ; 59,3    ;  106    ; 4,7    ;  25    ; 5,0    ;  309    ; 9,0    ;;
Langenbek; 4 017    ;  655    ;  975    ;  519    ; 1 468    ; 2 005    ; 2,0    ;  404    ; 1 558    ; 62,6    ;  84    ; 3,4    ;  21    ; 2,9    ;  245    ; 6,1    ;;
Sinstorf; 4 261    ; 1 011    ;  642    ; 1 136    ; 2 018    ; 1 738    ; 2,2    ;  449    ; 1 631    ; 59,4    ;  166    ; 6,0    ;  29    ; 5,9    ;  679    ; 15,9    ;;
Marmstorf; 8 980    ; 1 461    ; 2 417    ; 1 224    ; 2 857    ; 4 620    ; 2,0    ;  882    ; 3 360    ; 62,7    ;  212    ; 4,0    ;  43    ; 3,2    ;  495    ; 5,5    ;;
Eißendorf; 24 780    ; 4 280    ; 4 880    ; 5 314    ; 10 723    ; 13 157    ; 1,9    ; 2 551    ; 10 169    ; 62,4    ;  885    ; 5,4    ;  160    ; 4,9    ; 2 391    ; 9,6    ;;
Heimfeld; 22 255    ; 3 809    ; 3 398    ; 5 877    ; 10 672    ; 12 225    ; 1,8    ; 2 243    ; 9 651    ; 61,7    ;  989    ; 6,3    ;  168    ; 6,6    ; 2 544    ; 11,4    ;;
Moorburg/Altenwerder;  714    ;  128    ;  118    ;  70    ;  135    ;  405    ; 1,8    ;  72    ;.    ;.    ;.    ;.    ;.    ;.    ;  62    ; 8,7    ;;
Hausbruch; 16 753    ; 3 198    ; 3 493    ; 2 906    ; 9 268    ; 7 730    ; 2,1    ; 1 861    ; 6 454    ; 60,7    ;  792    ; 7,5    ;  183    ; 7,1    ; 2 261    ; 13,5    ;;
Neugraben-Fischbek; 33 126    ; 7 209    ; 6 256    ; 6 451    ; 16 288    ; 15 250    ; 2,2    ; 3 952    ; 12 497    ; 60,3    ; 1 445    ; 7,0    ;  252    ; 6,2    ; 4 193    ; 12,7    ;;
Francop;  721    ;  113    ;  132    ;  117    ;  160    ;  362    ; 2,0    ;  69    ;.    ;.    ;.    ;.    ;.    ;.    ;  26    ; 3,6    ;;
Neuenfelde; 5 108    ; 1 226    ;  735    ; 1 674    ; 2 657    ; 2 259    ; 2,2    ;  567    ; 1 903    ; 57,2    ;  302    ; 9,1    ;  40    ; 6,8    ;  872    ; 17,1    ;;
Cranz;  840    ;  134    ;  151    ;  228    ;  362    ;  473    ; 1,8    ;  80    ;.    ;.    ;.    ;.    ;.    ;.    ;  97    ; 11,5    ;;
Hamburg-Mitte; 300 277    ; 48 876    ; 43 040    ; 83 784    ; 152 496    ; 165 463    ; 1,8    ; 27 941    ; 127 638    ; 59,1    ; 15 681    ; 7,3    ; 2 733    ; 7,5    ; 44 305    ; 14,8    ;;
Altona; 275 011    ; 49 545    ; 49 402    ; 45 179    ; 93 761    ; 148 536    ; 1,8    ; 29 435    ; 107 611    ; 58,5    ; 9 855    ; 5,4    ; 2 022    ; 5,6    ; 23 188    ; 8,4    ;;
Eimsbüttel; 269 964    ; 42 274    ; 50 383    ; 40 152    ; 82 382    ; 154 887    ; 1,7    ; 26 108    ; 115 487    ; 63,0    ; 8 336    ; 4,5    ; 1 773    ; 5,2    ; 16 326    ; 6,0    ;;
Hamburg-Nord; 315 929    ; 44 213    ; 50 735    ; 45 604    ; 93 700    ; 193 357    ; 1,6    ; 27 723    ; 148 594    ; 65,5    ; 9 993    ; 4,4    ; 2 027    ; 5,3    ; 20 307    ; 6,4    ;;
Wandsbek; 444 037    ; 78 040    ; 95 161    ; 67 102    ; 152 553    ; 230 316    ; 1,9    ; 45 708    ; 173 814    ; 61,4    ; 14 912    ; 5,3    ; 3 209    ; 5,2    ; 39 819    ; 9,0    ;;
Bergedorf; 130 711    ; 23 917    ; 24 831    ; 20 011    ; 51 865    ; 63 248    ; 2,0    ; 13 633    ; 54 164    ; 63,2    ; 4 161    ; 4,9    ;  911    ; 4,9    ; 12 415    ; 9,5    ;;
Harburg; 170 482    ; 31 762    ; 30 079    ; 42 737    ; 83 822    ; 86 660    ; 1,9    ; 17 877    ; 68 990    ; 60,8    ; 7 639    ; 6,7    ; 1 325    ; 6,2    ; 21 198    ; 12,4    ;;
