how to ;Bevölkerung;Unter 18-Jährige;Anteil der unter 18-Jährigen in %; 65-Jährige und Ältere;Anteil der 65-Jährigen und Älteren in %;Ausländer:innen;Bevölkerung mit Migrations-hintergrund;Haushalte;Personen je Haushalt;Haushalte mit Kindern;Anteil der Haushalte mit Kindern in %;Fläche in km²;Bevölkerungs-dichte;Sozial-versicherungs-pflichtig Beschäftigte (Dez 2021);Beschäftigten-quote in % (Dez 2021);Arbeitslose (Dez 2021);Arbeitslosenanteil in % (Dez 2021);Jüngere Arbeitslose (Dez 2021);Arbeitslosenanteil Jüngerer in % (Dez 2021);Ältere Arbeitslose (Dez 2021);Arbeitslosenanteil Älterer in % (Dez 2021);Leistungs-empfänger:innen nach SGB II (Dez 2021);Anteil der Leistungs-empfänger:innen nach SGB II in % (Dez 2021);Sozialwohnungen (Jan 2022);Sozialwohnungs-anteil in % (Jan 2022)
Osdorf;26.128.00;5.315.00;20.3;5.730.00;21.9;4.793.00;11.008.00;13.184.00;2;3.056.00;23.2;7.3;3.603.00;9.142.00;57.1;971;6.1;86;3.1;177;5.2;3.101.00;11.9;933;7.3
Nienstedten;7.081.00;1.366.00;19.3;1.838.00;26;684;1.426.00;3.478.00;2.1;814;23.4;4.4;1.617.00;1.989.00;47.7;62;1.5;.    ;.    ;25;2.3;52;0.7;8;0.2
Blankenese;13.656.00;2.545.00;18.6;3.725.00;27.3;1.307.00;2.753.00;6.934.00;2;1.463.00;21.1;7.7;1.765.00;3.918.00;49.7;167;2.1;.    ;.    ;61;3.1;256;1.9;28;0.4
Iserbrook;11.342.00;2.095.00;18.5;2.838.00;25;1.128.00;2.859.00;5.656.00;2;1.254.00;22.2;2.7;4.248.00;4.103.00;60.6;247;3.6;11;1.1;66;3.9;590;5.2;183;3.1
Sülldorf;9.399.00;1.808.00;19.2;1.968.00;20.9;1.273.00;2.424.00;4.511.00;2;986;21.9;5.7;1.639.00;3.333.00;56.1;279;4.7;18;1.9;61;4.2;699;7.4;218;4.8
Rissen;16.011.00;3.037.00;19;4.636.00;29;1.761.00;3.495.00;7.963.00;2;1.688.00;21.2;16.7;959;4.858.00;54.8;329;3.7;23;1.6;74;3.4;933;5.8;115;1.4
Eimsbüttel;57.183.00;7.390.00;12.9;7.388.00;12.9;6.923.00;14.084.00;38.297.00;1.5;4.988.00;13;3.2;17.728.00;28.603.00;65.9;1.756.00;4;74;1.5;350;5.3;2.373.00;4.1;577;1.7
Rotherbaum;17.103.00;2.334.00;13.6;2.735.00;16;2.788.00;5.199.00;10.872.00;1.6;1.505.00;13.8;2.7;6.253.00;6.886.00;55.6;397;3.2;.    ;.    ;102;5;380;2.2;68;0.7
Harvestehude;17.709.00;2.681.00;15.1;3.723.00;21;2.386.00;4.956.00;10.635.00;1.7;1.651.00;15.5;2.1;8.636.00;6.351.00;54.2;413;3.5;16;1.1;97;3.9;554;3.1;43;0.4
Hoheluft-West;13.323.00;1.634.00;12.3;1.869.00;14;1.496.00;3.005.00;8.799.00;1.5;1.147.00;13;0.7;18.517.00;6.744.00;67.3;339;3.4;.    ;.    ;69;4.7;352;2.6;12;0.1
Lokstedt;30.678.00;5.283.00;17.2;5.883.00;19.2;4.798.00;9.835.00;16.343.00;1.8;3.161.00;19.3;4.9;6.266.00;12.822.00;63.6;870;4.3;54;1.8;185;5.3;1.826.00;6;701;4.4
Niendorf;41.205.00;6.545.00;15.9;10.592.00;25.7;4.216.00;9.751.00;22.155.00;1.9;4.076.00;18.4;12.4;3.318.00;16.196.00;64.6;859;3.4;55;1.6;240;4;1.416.00;3.4;246;1.2
Schnelsen;30.122.00;5.780.00;19.2;6.096.00;20.2;4.624.00;10.509.00;14.559.00;2;3.332.00;22.9;9;3.365.00;12.035.00;62.8;1.077.00;5.6;92;2.9;224;5.3;2.840.00;9.4;1.887.00;13.3
Eidelstedt;35.686.00;6.526.00;18.3;7.168.00;20.1;7.535.00;15.206.00;18.230.00;1.9;3.818.00;20.9;8.7;4.091.00;14.112.00;61.7;1.592.00;7;146;4.1;286;6.4;4.474.00;12.5;1.920.00;11.6
Stellingen;26.955.00;4.101.00;15.2;4.929.00;18.3;5.386.00;9.837.00;14.997.00;1.7;2.430.00;16.2;6.1;4.427.00;11.738.00;63.6;1.033.00;5.6;64;2.4;220;6.9;2.111.00;7.8;433;2.9
Hoheluft-Ost;9.722.00;1.229.00;12.6;1.634.00;16.8;1.003.00;2.263.00;6.303.00;1.6;863;13.7;0.6;17.192.00;4.590.00;65.5;214;3.1;.    ;.    ;54;4.4;275;2.8;154;2.5
